First Name,Middle Name,Last Name,Email,Address Line 1,Address Line 2,Suburb,State,Postcode,Country,Position,Department,Work Number,Number of Securities
2MandatoryFields,,LastnameA,emailA@gmail.com,AddressLine1A,,SuburbA,WA,,Australia,,,,
3AllFields,MiddlenameB,LastnameB,emailB@gmail.com,Address Line 1 B,Address Line 2 B,SuburbB,NSW,1234,Italy,PositionB,DepartmentB,123456789,500
4InvalidEmail,,LastnameC,emailC@g,Address Line 1 C,,SuburbC,VIC,,Australia,,,,
5MissingLastname,,,emailD@gmail.com,Address Line 1D,,SuburbD,VIC,,Australia,,,,
6MissingEmail,,LastnameE,,AddressLine1E,,SuburbE,WA,,Australia,,,,
7MissingAddressLine1,,LastnameF,emailF@gmail.com,,,SuburbF,TAS,,Australia,,,,
8MissingSuburb,,LastnameG,emailG@gmail.com,AddressLine1G,,,TAS,,Australia,,,,
9MissingState,,LastnameH,emailH@gmail.com,AddressLine1H,,SuburbH,,,Australia,,,,
10MissingCountry,,LastnameI,emailI@gmail.com,AddressLine1I,,SuburbI,WA,,,,,,
11ZeroSecurities,,LastnameJ,emailJ@gmail.com,AddressLine1J,,SuburbJ,WA,,Australia,,,,0
12RepeatedEmailA,,LastnameK,emailA@gmail.com,AddressLine 1K,,SuburbK,VIC,1234,Australia,PositionK,DepartmentK,,1000
13GoodData,MiddleNameL,LastnameL,deborah.dowson+2@fincleartech.com.au,AddressLine1L,Address Line 2L,SuburbL,WA,6000,Australia,PositionL,DepartmentL,987654321,2000
14GoodData,,LastnameM,emailM@gmail.com,AddressLine 1M,,Suburb M,NSW,2000,Australia,PostionM,DepartmentM,,3000
15DuplicateEmail,,LastnameN,emailB@gmail.com,AddressLine 1M,,Suburb M,NSW,2000,Australia,PostionM,DepartmentM,,3000
